id;is_misinfo;Texts
1,3469E+18;0;#VaccinesWork #CovidVaccine First responders receiving the first doses of the vaccine. @RiversideL2881 @calfirel2881 @CAFirefighters @CaliforniaLabor @ACHDnews @CalNurses @CSDAdistricts @CASenateDems @AssemblyDems https://t.co/MU8syBV3Cs
1,34662E+18;0;If you use to eat food from the Dixie chicken in durham that had a 0 star food hygiene rating, you don’t need to worry about what is in the vaccine.
1,34557E+18;1;"It's absolutely terrifying that I could just have my life ripped away because of any tiny mistake.

Meanwhile there's a rushed vaccine available and my state doesn't even know how they want to distribute it."
1,34422E+18;1;"This compulsory vaccination will eventually lead to depopulation. Playing god never end well. Smallpox was stopped by cowpox. It was not invented by Man, just discovered by man. 
This rna vaccine to ""trick"" the brain to create protein which ""shld"" result in immunisation"
1,34479E+18;0;i really doubt 2021 will be much different imo because corona will probably ruin it, so i’m not too excited but hopefully at some point the vaccine works and things can get a little better for everyone. but i still hope 2021 is good for you all regardless :) happy new year!!
1,34517E+18;1;I wonder how long it will be before the side effects of an unproven vaccine are chalked up to long term covid effects. I have no doubt that is how it will be played
1,34223E+18;0;"If you buy very out of season fruits or vegetables grown in Central America, absolutely do not worry about what's in the vaccine.
Seriously, as an experiment I've had Chilean blueberries for 3 months. They are still ""fresh"". They taste terrible, as they always did, but no mold."
1,37407E+18;0;The moment I get the vaccine I’m outta here <U+2708><U+FE0F><U+0001F3DD><U+2600><U+FE0F>
1,34697E+18;0;My grandparents are getting the covid vaccine literally this weekend
1,34442E+18;1;"Is it fake news? A toxic vaccine? 
I strongly support zBig Don T!

But today a high ranking republican died after that Jab.
     Oh...throw the bidens in jail. Anyone into off grid.must be anti violence pro off grid contact"
1,38766E+18;0;"Listening to public address autos going around urging people to get #vaccinated for free by visiting govt hospitals. Reading that people are unable to access the portal to register but they aren't saying #vaccine not available. Those like me registering find #Vaccines available &amp;"
1,36053E+18;1;"The vaccine isn’t about curing people nor is it about killing people, it’s about balance of energy, positive for those who believe it’s a cure for a killer virus &amp; fear for those who believe it’s a killer vaccine, it’s another divide in society &amp; ultimately a show of control https://t.co/djPpQ1uiY8"
1,34439E+18;0;just got my covid-19 vaccine. was completely painless. excited about the beginning of the end of this nightmare pandemic.
1,37406E+18;1;"Urgent: Doctor Warns The Experimental COVID “Vaccine” Is Really “Dangerous Gene Therapy”
https://t.co/TWAxtJM3gt"
1,38828E+18;0;got my covid vaccine appointment
1,3875E+18;1;"Alert The ""Vaccine"" Is a Bioweapon - 5 Doctors Testify | Healthcare | Before It's News https://t.co/VxdFv4WAGz"
1,38763E+18;0;i got my first vaccine today!!
1,34659E+18;1;If you've had the 'flu vaccine then think carefully before taking the experimental c O'V Id  V @ x. Censorship means U are not informed of the risks. Look on Sciencedirect. com for the Woolfe 'flu v'x Study/ Pentagon/ soldiers. 36% incr risk of c'ron a  resp'try infect'n. DM me
1,3469E+18;0;I’m ready to take this COVID-19 vaccine...fuck it.
1,38778E+18;0;If you eat Burger King don’t worry about what’s in the vaccine
1,34219E+18;0;if you vape or smoke don’t worry about what’s in the vaccine
1,37329E+18;0;Second Covid vaccine officially completed <U+0001F973><U+0001F64F>
1,34689E+18;0;"Aight.... seriously, though.

Can I get my vaccine now?"
1,35874E+18;1;When will people realise ( people won't  ) that the Coronavirus was just a red flag event. The real threat, made to look like the savior, is the vaccine. It is through the vaccine that the real culling and depopulation of the planet will take place. Thats the genius of it all !
1,34612E+18;0;"My mother and I just got our first dose of the Moderna Vaccine for Covid <U+0001F642>

Fucking relieved, and looking forward to the 2nd dose in February."
1,38732E+18;0;"The #CoWin portal for vaccine registrations goes live today. Pls make use of this service - get yourself &amp; those known to you vaccinated. 
Vaccines reducing severity of the illness is much much better than no vaccination at all. 
#VaccinesWork , are safe &amp; helped many to recover."
1,38771E+18;0;I get my second and final @moderna_tx shot this morning…and then #vaccinated until the need for a booster shot. #HereWeGo <U+0001F973> #VaccinesWork https://t.co/WSEjLXh4aY
1,35915E+18;1;Doctors from around the world are warning people to NOT get this experimental mRNA vaccine which could possibly alter one's DNA! Could make couples infertile! https://t.co/Thm4js4Ra9
1,38776E+18;0;".@DrTasnimJara explains why she took the Covid vaccine, in #Bangla <U+0001F447>

#TeamHalo #VaccinesWork #Bengali #VaccinatedFor https://t.co/2Jyq2L1Ak0"
1,38768E+18;0;"I have stopped doing elective surgery in patients who were eligible for vaccine but didn’t get it due to hesitancy. I send them for vaccine first and call them once both their doses are done. 
#vaccinated #COVID19 #CoronaPandemic #CoronavirusPandemic #OxygenCrisis #OxygenShortage"
1,34221E+18;0;If you’ve sat on ANY character department green room sofa you don’t need to worry about what’s in the vaccine.
1,35985E+18;1;Preexisting conditions or not, if you want to try experimental gene editing technology, used as a vaccine for something no more dangerous than a bad flu, go ahead. But it is not for me, with my COPD. I have chest infections all the time, which mean I need take .....
1,3741E+18;0;thankful my dad is eligible for his vaccine
1,3733E+18;0;"2nd Pfizer shot 
#CovidVaccine #GetVaccinated #PfizerProud #PfizerCovidVaccine #COVID19Vaccine https://t.co/ejGSX5AvtD"
1,34368E+18;0;"A bit late to sharing but my first story for California Black Media got picked up by three publications! I've been reporting on health for CBM and have more to come... 
https://t.co/7TvXL5kfsd"
1,35928E+18;0;My brother-in-law is a teacher and has cystic fibrosis. He just got his first dose of the vaccine. I cannot tell you how much this means to us. We’ve been so afraid for so long now and brb I’m crying.
1,3436E+18;1;The COVID vaccine is not a vaccine. It’s a type of mRNA gene therapy which has never been tried before. Marketing types told them to call it a vaccine because “gene therapy” sounds too scary.
